Province	stud_teach	Level
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L40	5
AZUAY	L40	2
AZUAY	L20	2
AZUAY	L30	2
AZUAY	L30	2
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	2
AZUAY	L30	2
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L10	2
AZUAY	L10	4
AZUAY	L20	2
AZUAY	L10	2
AZUAY	L20	2
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L40	2
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L10	3
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L10	5
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	5
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L10	1
AZUAY	L20	2
AZUAY	L20	1
AZUAY	L10	1
AZUAY	L30	4
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L10	1
AZUAY	L30	4
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L30	4
AZUAY	L70	5
AZUAY	L30	5
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	3
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	3
AZUAY	L20	5
AZUAY	L10	2
AZUAY	L20	1
AZUAY	L10	4
AZUAY	L10	2
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L30	3
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L10	5
AZUAY	L30	2
AZUAY	L20	1
AZUAY	L20	1
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L10	2
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L10	5
AZUAY	L30	4
AZUAY	L10	1
AZUAY	L30	4
AZUAY	L40	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L10	6
AZUAY	L30	2
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L10	6
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	3
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L20	5
AZUAY	L30	5
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L40	5
AZUAY	L30	2
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L30	5
AZUAY	L10	1
AZUAY	L10	4
AZUAY	L10	1
AZUAY	L10	4
AZUAY	L10	1
AZUAY	L10	2
AZUAY	L10	4
AZUAY	L10	6
AZUAY	L10	1
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	3
AZUAY	L30	4
AZUAY	L20	3
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	3
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	5
AZUAY	L40	4
AZUAY	L10	4
AZUAY	L10	1
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L40	5
AZUAY	L100	5
AZUAY	L20	1
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L20	3
AZUAY	L10	3
AZUAY	L70	5
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	3
AZUAY	L20	5
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L30	2
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L10	3
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	2
AZUAY	L10	1
AZUAY	L10	1
AZUAY	L20	4
AZUAY	L10	1
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L10	1
AZUAY	L70	4
AZUAY	L10	2
AZUAY	L20	3
AZUAY	L30	5
AZUAY	L20	2
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L10	1
AZUAY	L10	2
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L30	2
AZUAY	L20	3
AZUAY	L30	4
AZUAY	L20	1
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L40	5
AZUAY	L20	4
AZUAY	L30	5
AZUAY	L60	4
AZUAY	L20	3
AZUAY	L10	1
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L10	2
AZUAY	L10	3
AZUAY	L10	5
AZUAY	L10	5
AZUAY	L30	2
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L10	1
AZUAY	L10	2
AZUAY	L30	4
AZUAY	L40	2
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	2
AZUAY	L60	5
AZUAY	L30	2
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L10	3
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	3
AZUAY	L10	5
AZUAY	L10	3
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L20	2
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L10	3
AZUAY	L30	2
AZUAY	L10	4
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	2
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	3
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L30	4
CANAR	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
GUAYAS	L30	4
AZUAY	L20	4
GUAYAS	L20	4
CANAR	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
CANAR	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L10	4
GUAYAS	L20	4
GUAYAS	L30	4
GUAYAS	L20	4
AZUAY	L20	4
AZUAY	L20	4
GUAYAS	L20	5
AZUAY	L20	4
GUAYAS	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L10	5
CANAR	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L90	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L40	5
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	3
AZUAY	L10	5
AZUAY	L20	3
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L40	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L40	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	5
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L10	2
AZUAY	L20	3
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	2
AZUAY	L40	4
AZUAY	L10	2
AZUAY	L30	2
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	3
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L30	2
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	2
AZUAY	L20	2
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L40	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	2
AZUAY	L100	5
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L10	3
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L30	5
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L10	5
AZUAY	L20	1
AZUAY	L20	4
AZUAY	L30	3
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	2
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L50	5
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	6
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	3
AZUAY	L10	2
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	2
AZUAY	L40	2
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L40	5
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L40	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L10	4
AZUAY	L20	2
AZUAY	L10	5
AZUAY	L30	4
AZUAY	L10	2
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L40	5
AZUAY	L10	4
AZUAY	L10	2
AZUAY	L100	5
AZUAY	L10	4
AZUAY	L20	3
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L10	5
AZUAY	L30	4
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	2
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	5
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L90	5
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	5
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L50	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L40	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L30	5
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	2
AZUAY	L40	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	2
AZUAY	L40	5
AZUAY	L10	5
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L70	5
AZUAY	L30	4
AZUAY	L20	3
AZUAY	L20	2
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L30	5
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L40	4
AZUAY	L20	2
AZUAY	L10	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	5
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L30	4
AZUAY	L30	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	5
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L30	3
AZUAY	L30	5
AZUAY	L40	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L20	4
AZUAY	L20	2
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L30	4
AZUAY	L40	4
AZUAY	L20	4
AZUAY	L10	2
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L30	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L10	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	4
AZUAY	L20	5
AZUAY	L10	2
AZUAY	L40	5
AZUAY	L50	5
AZUAY	L20	2
AZUAY	L10	2
AZUAY	L10	2
AZUAY	L20	3
AZUAY	L20	3
AZUAY	L20	4
AZUAY	L30	5
AZUAY	L10	4
AZUAY	L10	4
AZUAY	L60	5
AZUAY	L10	2
AZUAY	L10	1
AZUAY	L10	1
AZUAY	L20	1
AZUAY	L10	1
AZUAY	L10	1
AZUAY	L30	5
AZUAY	L30	5
AZUAY	L10	6
AZUAY	L10	4
BOLIVAR	L20	4
BOLIVAR	L10	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	5
BOLIVAR	L20	4
BOLIVAR	L10	4
BOLIVAR	L30	4
BOLIVAR	L50	2
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	2
BOLIVAR	L20	4
BOLIVAR	L40	4
BOLIVAR	L20	4
BOLIVAR	L30	4
BOLIVAR	L20	2
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	2
BOLIVAR	L10	4
BOLIVAR	L30	4
BOLIVAR	L20	2
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L30	2
BOLIVAR	L10	4
BOLIVAR	L10	4
BOLIVAR	L30	2
BOLIVAR	L20	6
BOLIVAR	L20	6
BOLIVAR	L30	2
BOLIVAR	L20	2
BOLIVAR	L50	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L50	4
BOLIVAR	L20	4
BOLIVAR	L20	6
BOLIVAR	L30	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L30	4
BOLIVAR	L20	4
BOLIVAR	L20	2
BOLIVAR	L20	4
BOLIVAR	L60	5
BOLIVAR	L30	4
BOLIVAR	L40	2
BOLIVAR	L50	2
BOLIVAR	L30	4
BOLIVAR	L20	2
BOLIVAR	L20	4
BOLIVAR	L30	4
BOLIVAR	L20	2
BOLIVAR	L30	4
BOLIVAR	L30	2
BOLIVAR	L20	4
BOLIVAR	L20	2
BOLIVAR	L40	4
BOLIVAR	L10	4
BOLIVAR	L30	5
BOLIVAR	L20	6
BOLIVAR	L20	6
BOLIVAR	L10	6
BOLIVAR	L30	4
BOLIVAR	L20	6
BOLIVAR	L20	4
BOLIVAR	L70	4
BOLIVAR	L10	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L30	4
BOLIVAR	L30	4
BOLIVAR	L70	2
BOLIVAR	L30	4
BOLIVAR	L20	4
BOLIVAR	L30	4
BOLIVAR	L40	4
BOLIVAR	L30	4
BOLIVAR	L10	4
BOLIVAR	L40	4
BOLIVAR	L30	4
BOLIVAR	L20	2
BOLIVAR	L20	2
BOLIVAR	L20	4
BOLIVAR	L30	4
BOLIVAR	L20	5
BOLIVAR	L10	5
BOLIVAR	L10	5
BOLIVAR	L20	6
BOLIVAR	L20	6
BOLIVAR	L30	2
BOLIVAR	L40	4
BOLIVAR	L10	1
BOLIVAR	L10	1
BOLIVAR	L20	5
BOLIVAR	L30	4
BOLIVAR	L10	6
BOLIVAR	L20	4
BOLIVAR	L100	5
BOLIVAR	L30	4
BOLIVAR	L30	2
BOLIVAR	L20	1
BOLIVAR	L20	5
BOLIVAR	L30	4
BOLIVAR	L20	4
BOLIVAR	L20	2
BOLIVAR	L30	2
BOLIVAR	L20	5
BOLIVAR	L10	4
BOLIVAR	L20	5
BOLIVAR	L20	6
BOLIVAR	L20	4
BOLIVAR	L30	6
BOLIVAR	L40	5
BOLIVAR	L10	4
BOLIVAR	L10	2
BOLIVAR	L10	4
BOLIVAR	L10	4
BOLIVAR	L20	3
BOLIVAR	L30	4
BOLIVAR	L30	2
BOLIVAR	L30	3
BOLIVAR	L30	4
BOLIVAR	L20	5
BOLIVAR	L30	2
BOLIVAR	L20	4
BOLIVAR	L10	4
BOLIVAR	L30	1
BOLIVAR	L20	2
BOLIVAR	L30	5
BOLIVAR	L20	4
BOLIVAR	L40	2
BOLIVAR	L20	2
BOLIVAR	L20	6
BOLIVAR	L20	2
BOLIVAR	L30	6
BOLIVAR	L20	6
BOLIVAR	L20	4
BOLIVAR	L10	4
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L10	5
BOLIVAR	L20	4
BOLIVAR	L20	4
BOLIVAR	L20	5
BOLIVAR	L10	4
BOLIVAR	L30	4
BOLIVAR	L10	4
BOLIVAR	L20	4
BOLIVAR	L40	4
